"batch_id","dataset_id","chart_dim_rule","lambda_ridge","lambda_sync","status","error","support_size","degree","kernel","chart_dim_summary","cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv","sync_energy","mean_sync_squared_disagreement","ridge_median","ridge_max","elapsed_sec","requested_zero_ridge_fallback"
"FB01","LA-D1-RAW-N500","auto",0,0,"ok",,35,2,"gaussian",2,0.61695298017139,0.0883931074496484,0.0467257316615594,5.00440964404738,5.72730926226874,0.000340890974714592,0,0,0.148,FALSE
"FB01","LA-D1-RAW-N500","auto",0,0.01,"ok",,35,2,"gaussian",2,0.139023300926528,0.0884320387298465,0.0464989518555283,5.00454150725672,5.40324931843947,0.000321602840433861,0,0,18.997,FALSE
"FB01","LA-D1-RAW-N500","auto",0,0.03,"ok",,35,2,"gaussian",2,0.128553048446995,0.08851054470346,0.0460923876510854,5.00541901784922,4.86541193638834,0.000289590616017552,0,0,19.106,FALSE
"FB01","LA-D1-RAW-N500","auto",0,0.1,"ok",,35,2,"gaussian",2,0.120488554452726,0.088771329442122,0.0449891017457881,5.01157356204609,3.6581383386875,0.000217733369512863,0,0,18.803,FALSE
"FB01","LA-D1-RAW-N500","auto",0,0.3,"ok",,35,2,"gaussian",2,0.116094381757882,0.0893556582466224,0.0430529125096729,5.03308366314617,2.23471611241756,0.000133010898990752,0,0,19.142,FALSE
"FB01","LA-D1-RAW-N500","auto",0,1,"ok",,35,2,"gaussian",2,0.113046685450182,0.0905525736012375,0.0399589105586937,5.0875428270057,1.04827911744487,6.23938526373866e-05,0,0,18.956,FALSE
"FB01","LA-D1-RAW-N500","auto",0,3,"ok",,35,2,"gaussian",2,0.1103204613477,0.0922091574975965,0.0367207835043561,5.1696838315208,0.470475347593368,2.80028181605054e-05,0,0,19.193,FALSE
"FB01","LA-D1-RAW-N500","auto",0,10,"ok",,35,2,"gaussian",2,0.107804516613216,0.0945110871271653,0.0336413482506175,5.29793996160486,0.181107337301545,1.07795570159646e-05,0,0,18.72,FALSE
"FB01","LA-D1-RAW-N500","auto",1e-10,0,"ok",,35,2,"gaussian",2,0.138367726772694,0.089555287003165,0.0447925820418292,5.09732351093083,4.91141876073786,0.000292328954472461,2.81482023654838e-09,3.30190087671066e-09,0.0730000000000075,FALSE
"FB01","LA-D1-RAW-N500","auto",1e-10,0.01,"ok",,35,2,"gaussian",2,0.125007074576513,0.0896348097289284,0.0443008155065601,5.10052661461255,4.61535031315734,0.000274706881513548,4.13050680996061e-09,4.13050680996061e-09,19.145,FALSE
"FB01","LA-D1-RAW-N500","auto",1e-10,0.03,"ok",,35,2,"gaussian",2,0.121316503516242,0.0897588966400669,0.0437075246923471,5.10440338680414,4.14685204310628,0.00024682173953563,5.88050680911345e-09,5.88050680911345e-09,19.225,FALSE
