"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
1,-0.0225832765195362,-0.0225832765195362,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
2,0.0532345234166386,0.0532345234166386,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
3,0.008277816389412,0.008277816389412,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
4,0.0155058948624219,0.0155058948624219,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
5,-0.0452507337033969,-0.0452507337033969,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
6,-0.0215656049451625,-0.0215656049451625,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
7,-0.0151545376853326,-0.0151545376853326,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
8,-0.00562283389220519,-0.00551829106403506,-2.19860308409882e-08,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",2,1,1
9,-0.0727108242457051,-0.0727108242457051,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
10,-0.0801250241741116,-0.0724178120972969,-2.21928291324325e-05,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",2,1,1
11,0.0690151077605903,0.0640528451044339,-1.24645546656018e-05,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",2,1,1
12,-0.0135747972190867,-0.0135747972190867,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
13,-0.0149731455092934,-0.0149731455092934,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
14,-0.0571827293244195,-0.112963833384648,0.000179157019448705,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",3,1,2
15,0.0358423654072235,0.100654756587468,0.000166995620533675,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",2,1,1
16,-0.0265891929753817,-0.0265891929753817,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
17,-0.0273945612537154,-0.0273945612537154,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
18,0.00360544392389106,0.00360544392389106,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
19,-0.00431676550847548,-0.00431676550847548,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
20,0.0774158919964192,0.0774158919964192,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
21,0.0207512205562352,0.0819991514758795,0.00011879505633069,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",3,1,2
22,-0.0222566550879095,-0.0222566550879095,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
23,0.00111254112082287,0.0751352138342233,0.000106540655783679,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",2,1,1
24,-0.0969646541237513,-0.0913203388043407,-2.00609047945666e-05,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",2,1,1
25,-0.0224241371660805,-0.0224241371660805,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
26,-0.079584931959919,-0.079584931959919,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
27,0.0114184251474966,0.0114184251474966,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
28,0.0114184251474966,0.0114184251474966,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
29,0.0109104490259025,0.0301022309010433,1.48578849304935e-05,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",2,1,1
30,0.0524334971715197,0.0524334971715197,0,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",1,1,0
31,0.0429101661305428,0.0460648491756045,5.29843176740697e-06,0.0518638446248049,0.0540874951459715,0.00222365052116658,"LA-D1-HC-Gv-N500","FB04",2,1,1
