"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
1,-0.0627458535339217,-0.0627458535339217,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
2,0.0191011665338729,0.0191011665338729,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
3,-0.0830256765831321,-0.0830256765831321,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
4,0.160661547526868,0.160661547526868,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
5,0.0328401029119113,0.0328401029119113,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
6,-0.0802194953727627,-0.0802194953727627,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
7,0.0493513648719457,0.0493513648719457,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
8,0.0747196420678416,0.0747196420678416,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
9,0.0585688308511643,0.0585688308511643,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
10,-0.0319804184660666,-0.0319804184660666,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
11,0.152045343542052,0.152045343542052,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
12,0.0390584497608936,0.0390584497608936,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
13,-0.0599084063884152,-0.0599084063884152,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
14,-0.216027228464052,-0.216027228464052,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
15,0.114087207384019,0.114087207384019,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
16,-0.00424356918909241,-0.00424356918909241,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
17,-0.00338334626863505,-0.00338334626863505,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
18,0.0929657653895092,0.0929657653895092,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
19,0.0825208371181443,0.0825208371181443,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
20,0.0594962049678827,0.0594962049678827,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
21,0.0885466748241747,0.0885466748241747,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
22,0.0740952275509389,0.0740952275509389,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
23,0.00780600594857966,0.00780600594857966,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
24,-0.201152594685984,-0.201152594685984,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
25,0.0607559170037063,0.0607559170037063,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
26,-0.00467108845555936,-0.00467108845555936,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
27,-0.0192988554854702,-0.0192988554854702,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
28,-0.146313782380046,-0.146313782380046,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
29,-0.04810903926836,-0.04810903926836,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
30,0.0421595971748398,0.0421595971748398,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
31,0.136080540241056,0.136080540241056,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
32,-0.0112543776527862,-0.0112543776527862,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
33,0.0374891681836361,0.0374891681836361,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
34,-0.0050372945718774,-0.0050372945718774,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
35,-0.136815730353384,-0.136815730353384,0,0.100134178800507,0.0986552885565928,-0.00147889024391455,"SYN-RANK-BLOCKS-N600-P100","FB14",6,6,0
